DOI;abstract_id;abstract
https://doi.org/10.1523/JNEUROSCI.2182-22.2023;19;"first Auditory experience plays a critical role in hearing development. Developmental auditory deprivation because of otitis media
https://doi.org/10.1523/JNEUROSCI.1609-22.2022;20;first In the macaque monkey
https://doi.org/10.1523/JNEUROSCI.0626-23.2023;21;first The inferior colliculus (IC) is a midbrain hub critical for perceiving complex sounds
https://doi.org/10.1523/JNEUROSCI.2089-22.2023;22;"first Animals interact with their environment through mechanically active
https://doi.org/10.1523/JNEUROSCI.0750-22.2023;23;first Planning and execution of voluntary movement depend on the contribution of distinct classes of neurons in primary motor and premotor areas. However
https://doi.org/10.1523/JNEUROSCI.1841-22.2023;24;first Adult twin neuroimaging studies have revealed that cortical thickness (CT) and surface area (SA) are differentially influenced by genetic information
https://doi.org/10.1523/JNEUROSCI.0046-23.2023;25;first Neurons exhibit a striking degree of functional diversity
https://doi.org/10.1523/JNEUROSCI.0073-22.2023;26;"first Axon fasciculation is thought to be a critical step in neural circuit formation and function. Recent studies have revealed various molecular mechanisms that underlie axon fasciculation; however
https://doi.org/10.1523/JNEUROSCI.0815-23.2023;27;first Neurotransmission is shaped by extracellular pH. Alkalization enhances pH-sensitive transmitter release and receptor activation
https://doi.org/10.1523/JNEUROSCI.1473-22.2022;28;first Efficient sensory processing of spatial information is facilitated through the organization of neuronal connections into topographic maps of space. In integrative sensory centers
https://doi.org/10.1523/JNEUROSCI.1356-22.2023;29;first Mitochondria exert powerful control over cellular physiology
https://doi.org/10.1523/JNEUROSCI.2076-22.2023;30;first The peripheral branch of sensory dorsal root ganglion (DRG) neurons regenerates readily after injury unlike their central branch in the spinal cord. However
https://doi.org/10.1523/JNEUROSCI.0692-22.2023;31;first Bayesian models of perception posit that percepts result from the optimal integration of new sensory information and prior expectations. In turn
https://doi.org/10.1523/JNEUROSCI.2195-22.2023;32;first The chemical synapse is a complex machine separated into three parts: presynaptic
https://doi.org/10.1523/JNEUROSCI.1542-22.2023;33;first Activity-dependent changes in the number of AMPA-type glutamate receptors (AMPARs) at the synapse underpin the expression of LTP and LTD
https://doi.org/10.1523/JNEUROSCI.0082-23.2023;34;first Amyloid β protein (Aβ) and tau
https://doi.org/10.1523/JNEUROSCI.0016-23.2023;35;first Early-life stress (ELS) is one of the strongest lifetime risk factors for depression
https://doi.org/10.1523/JNEUROSCI.1969-22.2023;36;first Autonomously firing GABAergic neurons in the external globus pallidus (GPe) form a local synaptic network. In slices
https://doi.org/10.1523/JNEUROSCI.1028-22.2023;37;first The impact of stress on the formation and expression of memory is well studied
https://doi.org/10.1523/JNEUROSCI.1668-22.2023;38;first The gustatory cortex (GC) region of the insular cortex processes taste information in manners important for taste-guided behaviors
https://doi.org/10.1523/JNEUROSCI.2181-22.2023;39;first Cognitive demand is thought to modulate two often used
https://doi.org/10.1523/JNEUROSCI.0014-23.2023;40;first Huntington's disease (HD) is an autosomal-dominant neurodegenerative disease characterized by progressive motor and cognitive impairments
https://doi.org/10.1523/JNEUROSCI.1237-22.2022;41;"first Heroin addiction imposes a devastating toll on society
https://doi.org/10.1523/JNEUROSCI.1192-22.2023;42;first Individuals on the autism spectrum often exhibit atypicality in their sensory perception
https://doi.org/10.1523/JNEUROSCI.2250-22.2023;43;first Temporal discounting (TD) represents the mental devaluation of rewards that are available after a delay. Whether the hippocampus is critical for TD remains unclear
https://doi.org/10.1523/JNEUROSCI.0966-22.2023;44;first The functional heterogeneity of hippocampal CA3 pyramidal neurons has emerged as a key aspect of circuit function. Here
https://doi.org/10.1523/JNEUROSCI.1824-22.2023;45;"first The perforant path provides the primary cortical excitatory input to the hippocampus. Because of its important role in information processing and coding
https://doi.org/10.1523/JNEUROSCI.0406-22.2023;46;first Alcohol use disorder is complex and multifaceted
https://doi.org/10.1523/JNEUROSCI.2353-22.2023;47;first Mouse ultrasonic vocalizations (USVs) contain predictable sequential structures like bird songs and speech. Neural representation of USVs in the mouse primary auditory cortex (Au1) and its plasticity with experience has been largely studied with single-syllables or dyads
https://doi.org/10.1523/JNEUROSCI.0450-23.2023;48;"first Sudden unexpected death in epilepsy (SUDEP) has been linked to respiratory dysfunction
https://doi.org/10.1523/JNEUROSCI.1787-22.2023;49;first During developmental critical periods (CPs)
https://doi.org/10.1523/JNEUROSCI.1766-22.2023;50;first The paraventricular nucleus of the thalamus (PVT) is involved in drug addiction–related behaviors
https://doi.org/10.1523/JNEUROSCI.0228-21.2022;51;"first Most current methods for neuromodulation target the cortex. Approaches for inducing plasticity in subcortical motor pathways
https://doi.org/10.1523/JNEUROSCI.1519-22.2022;52;first Selective serotonin reuptake inhibitors (SSRIs) are the most prescribed treatment for individuals experiencing major depressive disorder. The therapeutic mechanisms that take place before
https://doi.org/10.1523/JNEUROSCI.0790-22.2023;53;first Sleep loss pervasively affects the human brain at multiple levels. Age-related changes in several sleep characteristics indicate that reduced sleep quality is a frequent characteristic of aging. Conversely
https://doi.org/10.1523/JNEUROSCI.1951-22.2023;54;first People experience instances of social feedback as interdependent with potential implications for their entire self-concept. How do people maintain positivity and coherence across the self-concept while updating self-views from feedback? We present a network model describing how the brain represents the semantic dependency relations among traits and uses this information to avoid an overall loss of positivity and coherence. Both male and female human participants received social feedback during a self-evaluation task while undergoing functional magnetic resonance imaging. We modeled self-belief updating by incorporating a reinforcement learning model within the network structure. Participants learned more rapidly from positive than negative feedback and were less likely to change self-views for traits with more dependencies in the network. Further
https://doi.org/10.1523/JNEUROSCI.0752-22.2022;55;"first In reinforcement learning (RL)
https://doi.org/10.1523/JNEUROSCI.2178-22.2023;56;first Knowledge about one's personality
https://doi.org/10.1523/JNEUROSCI.1204-22.2023;57;"first Effective rehabilitation in Parkinson's disease (PD) is related to brain reorganization with restoration of cortico–subcortical networks and compensation of frontoparietal networks; however
https://doi.org/10.1523/JNEUROSCI.1470-22.2023;58;first Glioblastoma is the most common malignant primary brain tumor with poor overall survival. Magnetic resonance imaging (MRI) is the main imaging modality for glioblastoma but has inherent shortcomings. The molecular and cellular basis of MR signals is incompletely understood. We established a ground truth-based image analysis platform to coregister MRI and light sheet microscopy (LSM) data to each other and to an anatomic reference atlas for quantification of 20 predefined anatomic subregions. Our pipeline also includes a segmentation and quantification approach for single myeloid cells in entire LSM datasets. This method was applied to three preclinical glioma models in male and female mice (GL261
https://doi.org/10.1523/JNEUROSCI.1876-22.2023;59;"first Neocortical layer 1 (L1) consists of the distal dendrites of pyramidal cells and GABAergic interneurons (INs) and receives extensive long-range “top-down” projections
https://doi.org/10.1523/JNEUROSCI.1387-22.2022;60;first Brain pH is a critical factor for determining neuronal activity
https://doi.org/10.1523/JNEUROSCI.1516-22.2022;61;"first Fast cholinergic neurotransmission is mediated by acetylcholine-gated ion channels; in particular
https://doi.org/10.1523/JNEUROSCI.2260-21.2023;62;first Older adults exposed to enriched environments (EE) maintain relatively higher levels of cognitive function
https://doi.org/10.1523/JNEUROSCI.0772-22.2022;63;first Synaptic changes play a major role in memory processes. Modulation of synaptic responses by brain states remains
https://doi.org/10.1523/JNEUROSCI.0952-22.2023;64;first Reward prediction error (RPE) signals are crucial for reinforcement learning and decision-making as they quantify the mismatch between predicted and obtained rewards. RPE signals are encoded in the neural activity of multiple brain areas
https://doi.org/10.1523/JNEUROSCI.1348-22.2023;65;first Ethanol tolerance is the first type of behavioral plasticity and neural plasticity that is induced by ethanol intake
https://doi.org/10.1523/JNEUROSCI.0208-22.2023;66;first The activity-dependent plasticity of synapses is believed to be the cellular basis of learning. These synaptic changes are mediated through the coordination of local biochemical reactions in synapses and changes in gene transcription in the nucleus to modulate neuronal circuits and behavior. The protein kinase C (PKC) family of isozymes has long been established as critical for synaptic plasticity. However
https://doi.org/10.1523/JNEUROSCI.1333-22.2023;67;first Despite the indispensable role that astrocytes play in the neurovascular unit
https://doi.org/10.1523/JNEUROSCI.0383-23.2023;68;first Comorbidities
https://doi.org/10.1523/JNEUROSCI.1104-22.2022;69;first Cortical computations emerge from the dynamics of neurons embedded in complex cortical circuits. Within these circuits
https://doi.org/10.1523/JNEUROSCI.0529-21.2022;70;"first Language comprehension requires the rapid retrieval and integration of contextually appropriate concepts (“semantic cognition”). Current neurobiological models of semantic cognition are limited by the spatial and temporal restrictions of single-modality neuroimaging and lesion approaches. This is a major impediment given the rapid sequence of processing steps that have to be coordinated to accurately comprehend language. Through the use of fused functional magnetic resonance imaging and electroencephalography analysis in humans (n = 26 adults; 15 females)
https://doi.org/10.1523/JNEUROSCI.0595-22.2022;71;first Opioid exposure and withdrawal both cause adaptations in brain circuits that may contribute to abuse liability. These adaptations vary in magnitude and direction following different patterns of opioid exposure
https://doi.org/10.1523/JNEUROSCI.1954-22.2023;72;first An important open question in neuroeconomics is how the brain represents the value of offers in a way that is both abstract (allowing for comparison) and concrete (preserving the details of the factors that influence value). Here
https://doi.org/10.1523/JNEUROSCI.1527-22.2023;73;first The mesolimbic dopamine system is implicated in signaling reward-related information as well as in actions that generate rewarding outcomes. These implications are commonly investigated in either pavlovian or operant reinforcement paradigms
https://doi.org/10.1523/JNEUROSCI.2157-21.2022;74;first Alcohol-related morbidities and mortality are highly prevalent
https://doi.org/10.1523/JNEUROSCI.0168-23.2023;75;first Black and white information is asymmetrically distributed in natural scenes
https://doi.org/10.1523/JNEUROSCI.0665-22.2023;76;first Fear learning allows us to identify and anticipate aversive events and adapt our behavior accordingly. This is often thought to rely on associative learning mechanisms where an initially neutral conditioned stimulus (CS) is repeatedly paired with an aversive unconditioned stimulus (US)
https://doi.org/10.1523/JNEUROSCI.2267-22.2023;77;"first The rod photoreceptor synapse is the first synapse of dim-light vision and one of the most complex in the mammalian CNS. The components of its unique structure
https://doi.org/10.1523/JNEUROSCI.1401-22.2023;78;"first A growing number of social interactions are taking place virtually on videoconferencing platforms. Here
https://doi.org/10.1523/JNEUROSCI.0007-23.2023;79;first The dorsolateral prefrontal cortex (dlPFC) is composed of multiple anatomically defined regions involved in higher-order cognitive processes
https://doi.org/10.1523/JNEUROSCI.1459-22.2022;80;first Impulse control and/or gambling disorders can be triggered by dopamine agonist therapies used to treat Parkinson's disease
https://doi.org/10.1523/JNEUROSCI.2459-21.2023;81;first The meaning of words in natural language depends crucially on context. However
https://doi.org/10.1523/JNEUROSCI.1366-22.2023;82;first Administration of a nitric oxide (NO) donor triggers migraine attacks
https://doi.org/10.1523/JNEUROSCI.0030-23.2023;83;"first Exposure to combinations of environmental toxins is growing in prevalence; and therefore
https://doi.org/10.1523/JNEUROSCI.2080-19.2023;84;"first 17β-estradiol (E2) is synthesized in the hippocampus of both sexes and acutely potentiates excitatory synapses in each sex. Previously
https://doi.org/10.1523/JNEUROSCI.0029-23.2023;85;first Everyday experience requires processing external signals from the world around us and internal information retrieved from memory. To do both
https://doi.org/10.1523/JNEUROSCI.1942-22.2023;86;"first The premotor (PM) and primary motor (M1) cortical areas broadcast voluntary motor commands through multiple neuronal pathways
https://doi.org/10.1523/JNEUROSCI.0987-22.2023;87;first Noninvasive electrical stimulation of the vestibular system in humans has become an increasingly popular tool with a broad range of research and clinical applications. However
https://doi.org/10.1523/JNEUROSCI.1537-22.2023;88;first Cyclin-dependent kinase-like 5 (CDKL5) deficiency disorder (CDD) is a severe early-onset epileptic encephalopathy resulting mainly from de novo mutations in the X-linked CDKL5 gene. To determine whether loss of presynaptic CDKL5 function contributes to CDD
https://doi.org/10.1523/JNEUROSCI.1331-22.2023;89;first A common observation in fMRI studies using the BOLD signal is that older adults
https://doi.org/10.1523/JNEUROSCI.1526-22.2022;90;"first Parkinson's disease (PD) is characterized by multiple symptoms including olfactory dysfunction
https://doi.org/10.1523/JNEUROSCI.1878-22.2023;91;first Endolysosomal defects in neurons are central to the pathogenesis of prion and other neurodegenerative disorders. In prion disease
https://doi.org/10.1523/JNEUROSCI.0544-22.2023;92;first Astrocytes have complex structural
https://doi.org/10.1523/JNEUROSCI.1831-22.2023;93;first To maintain stable posture of the head and body during our everyday activities
https://doi.org/10.1523/JNEUROSCI.0980-23.2023;94;first Gain-of-function pathogenic variants in the potassium channels KCNQ2 (KV7.2) and KCNQ3 (KV7.3) lead to hyperexcitability disorders such as epilepsy and autism spectrum disorders. However
https://doi.org/10.1523/JNEUROSCI.0605-23.2023;95;first Neurons are remarkably polarized structures: dendrites spread and branch to receive synaptic inputs while a single axon extends and transmits action potentials to downstream targets. Neuronal polarity is maintained by the axon initial segment (AIS)
https://doi.org/10.1523/JNEUROSCI.2355-22.2023;96;"first In vertebrates
https://doi.org/10.1523/JNEUROSCI.1348-21.2023;97;first Synaptic vesicle (SV) endocytosis is a critical and well-regulated process for the maintenance of neurotransmission. We previously reported that synaptotagmin-11 (Syt11)
https://doi.org/10.1523/JNEUROSCI.1279-22.2023;98;first The composition of voltage-gated Ca2+ channel (Cav) subtypes that gate action potential (AP)-evoked release changes during the development of mammalian CNS synapses. Cav2.2 and Cav2.3 lose their function in gating-evoked release during postnatal synapse maturation. In mature boutons
https://doi.org/10.1523/JNEUROSCI.0103-23.2023;99;first Injury that severs peripheral nerves often results in long-lasting motor behavioral deficits and in reorganization of related spinal motor circuitry
https://doi.org/10.1523/JNEUROSCI.2226-22.2023;100;"first Microglia
https://doi.org/10.1523/JNEUROSCI.2234-22.2023;101;"first Age-related hearing loss
https://doi.org/10.1523/JNEUROSCI.0825-22.2022;102;first During development
https://doi.org/10.1523/JNEUROSCI.0378-23.2023;103;"first Elongation of very long fatty acids-4 (ELOVL4) mediates biosynthesis of very long chain-fatty acids (VLC-FA; ≥28 carbons). Various mutations in this enzyme result in spinocerebellar ataxia-34 (SCA34). We generated a rat model of human SCA34 by knock-in of a naturally occurring c.736T>G
https://doi.org/10.1523/JNEUROSCI.0729-22.2022;104;first The establishment of a functional cerebral cortex depends on the proper execution of multiple developmental steps
https://doi.org/10.1523/JNEUROSCI.1561-22.2023;105;first Saccades are a fundamental part of natural vision. They interrupt fixations of the visual gaze and rapidly shift the image that falls onto the retina. These stimulus dynamics can cause activation or suppression of different retinal ganglion cells
https://doi.org/10.1523/JNEUROSCI.0704-23.2023;106;first The hypothalamic melanocortin system is critically involved in sensing stored energy and communicating this information throughout the brain
https://doi.org/10.1523/JNEUROSCI.0586-23.2023;107;"first A well orchestrated coupling hierarchy of slow waves and spindles during slow-wave sleep supports memory consolidation. In old age
https://doi.org/10.1523/JNEUROSCI.1761-22.2022;108;first All eutherian mammals show chromosomal sex determination with contrasting sex chromosome dosages (SCDs) between males (XY) and females (XX). Studies in transgenic mice and humans with sex chromosome trisomy (SCT) have revealed direct SCD effects on regional mammalian brain anatomy
https://doi.org/10.1523/JNEUROSCI.0643-23.2023;109;first Thermoregulatory behavior in homeothermic animals is an innate behavior to defend body core temperature from environmental thermal challenges in coordination with autonomous thermoregulatory responses. In contrast to the progress in understanding the central mechanisms of autonomous thermoregulation
https://doi.org/10.1523/JNEUROSCI.2139-21.2022;110;"first Stress disorders impair sleep and quality of life; however
https://doi.org/10.1523/JNEUROSCI.1488-22.2023;111;first The hierarchically organized structures of the medial temporal lobe are critically important for episodic memory function. Accumulating evidence suggests dissociable information processing pathways are maintained throughout these structures including in the medial and lateral entorhinal cortex. Cortical layers provide an additional dimension of dissociation as the primary input to the hippocampus derives from layer 2 neurons in the entorhinal cortex
https://doi.org/10.1523/JNEUROSCI.1424-22.2022;112;first Deep neural networks (DNNs) are promising models of the cortical computations supporting human object recognition. However
https://doi.org/10.1523/JNEUROSCI.1976-21.2022;113;first Despite the tight coupling between sensory and motor processing for fine manipulation in humans
https://doi.org/10.1523/JNEUROSCI.0286-23.2023;114;first Material properties
https://doi.org/10.1523/JNEUROSCI.1220-22.2023;115;first Neurons in the primary visual cortex (V1) receive excitation and inhibition from distinct parallel pathways processing lightness (ON) and darkness (OFF). V1 neurons overall respond more strongly to dark than light stimuli
https://doi.org/10.1523/JNEUROSCI.1332-22.2022;116;first A common problem in motor control concerns how to generate patterns of muscle activity when there are redundant solutions to attain a behavioral goal. Optimal feedback control is a theory that has guided many behavioral studies exploring how the motor system incorporates task redundancy. This theory predicts that kinematic errors that deviate the limb should not be corrected if one can still attain the behavioral goal. Studies in humans demonstrate that the motor system can flexibly integrate visual and proprioceptive feedback of the limb with goal redundancy within 90 ms and 70 ms
https://doi.org/10.1523/JNEUROSCI.1703-22.2022;117;first Visual attention is highly influenced by past experiences. Recent behavioral research has shown that expectations about the spatial location of distractors within a search array are implicitly learned
https://doi.org/10.1523/JNEUROSCI.2035-22.2023;118;first Cholecystokinin (CCK) enables excitatory circuit long-term potentiation (LTP). Here
https://doi.org/10.1523/JNEUROSCI.0153-23.2023;119;first Recent neural evidence suggests that the human brain contains dissociable systems for “scene categorization” (i.e.
https://doi.org/10.1523/JNEUROSCI.0013-23.2023;120;"first Reward-seeking behavior is often initiated by environmental cues that signal reward availability. This is a necessary behavioral response; however
https://doi.org/10.1523/JNEUROSCI.2205-22.2023;121;first The epileptic brain is distinguished by spontaneous seizures and interictal epileptiform discharges (IEDs). Basic patterns of mesoscale brain activity outside of seizures and IEDs are also frequently disrupted in the epileptic brain and likely influence disease symptoms
https://doi.org/10.1523/JNEUROSCI.1775-22.2023;122;first Astrocytes are key cellular regulators within the brain. The basolateral amygdala (BLA) is implicated in fear memory processing
https://doi.org/10.1523/JNEUROSCI.2014-22.2023;123;first NMDA receptors (NMDARs) are ionotropic glutamate receptors that play a key role in excitatory neurotransmission. The number and subtype of surface NMDARs are regulated at several levels
https://doi.org/10.1523/JNEUROSCI.1666-22.2023;124;first Microstimulation can modulate the activity of individual neurons to affect behavior
https://doi.org/10.1523/JNEUROSCI.1418-22.2023;125;"first Cognition and brain structure undergo significant maturation from adolescence into adulthood. Model-based (MB) control is known to increase across development
https://doi.org/10.1523/JNEUROSCI.2023-22.2022;126;first Prior evidence indicates that the infralimbic cortex (IL) mediates the ongoing inhibition of cocaine seeking following self-administration and extinction training in rats
https://doi.org/10.1523/JNEUROSCI.1827-22.2023;127;first Behavioral consequences and neural underpinnings of visuospatial attention have long been investigated. Classical studies using the Posner paradigm have found that visual perception systematically benefits from the use of a spatially informative cue pointing to the to-be-attended spatial location
https://doi.org/10.1523/JNEUROSCI.1407-22.2022;128;first The hippocampus is crucial for retrieval of contextual memories. The activation of a subpopulation of neurons in the dorsal CA1 (dCA1) of the hippocampus is required for memory retrieval. Given that hippocampal neurons exhibit distinct patterns of response during memory retrieval
https://doi.org/10.1523/JNEUROSCI.2545-21.2022;129;first The amygdalar anterior basolateral nucleus (BLa) plays a vital role in emotional behaviors. This region receives dense cholinergic projections from basal forebrain which are critical in regulating neuronal activity in BLa. Cholinergic signaling in BLa has also been shown to modulate afferent glutamatergic inputs to this region. However
https://doi.org/10.1523/JNEUROSCI.0805-22.2022;130;"first At high levels
https://doi.org/10.1523/JNEUROSCI.1114-22.2022;131;first Social deficits and dysregulations in dopaminergic midbrain-striato-frontal circuits represent transdiagnostic symptoms across psychiatric disorders. Animal models suggest that interactions between the dopamine (DA) and renin-angiotensin system (RAS) may modulate learning and reward-related processes. The present study therefore examined the behavioral and neural effects of the Angiotensin II type 1 receptor (AT1R) antagonist losartan on social reward and punishment processing in humans. A preregistered randomized double-blind placebo-controlled between-subject pharmacological design was combined with a social incentive delay (SID) functional MRI (fMRI) paradigm during which subjects could avoid social punishment or gain social reward. Healthy volunteers received a single-dose of losartan (50 mg
https://doi.org/10.1523/JNEUROSCI.0613-22.2022;132;"first Distributed cortical regions show differential responses to visual objects belonging to different domains varying by animacy (e.g.
https://doi.org/10.1523/JNEUROSCI.1907-22.2022;133;first Ventral subiculum (vSUB) is the major output region of ventral hippocampus (vHIPP) and sends major projections to nucleus accumbens medial shell (NAcMS). Hyperactivity of the vSUB-NAcMS circuit is associated with substance use disorders and the modulation of vSUB activity alters drug seeking and drug reinstatement behavior in rodents. However
https://doi.org/10.1523/JNEUROSCI.1314-22.2022;134;first Cognitive control is the ability to flexibly adapt behavior in a goal-directed manner when habit will not suffice. Control can be separated into distinct forms based on the timescale (present–future) and/or medium (external–internal) over which it operates. Both the frontoparietal network (FPN) and cingulo-opercular network (CON) are engaged during control
https://doi.org/10.1523/JNEUROSCI.1643-22.2023;135;first Sensory stimuli can trigger an orienting reflex (response) by which animals move the head to position their sensors (e.g.
https://doi.org/10.1523/JNEUROSCI.1916-22.2023;136;first Dynamic adaptation is an error-driven process of adjusting planned motor actions to changes in task dynamics (Shadmehr
https://doi.org/10.1523/JNEUROSCI.2109-22.2023;137;first Rapidly recognizing and understanding others' social interactions is an important ability that relies on deciphering multiple sources of information
https://doi.org/10.1523/JNEUROSCI.0163-23.2023;138;first Mammalian sleep is regulated by a homeostatic process that increases sleep drive and intensity as a function of prior wake time. Sleep homeostasis has traditionally been thought to be a product of neurons
https://doi.org/10.1523/JNEUROSCI.0451-23.2023;139;"first The overrepresentation of centrifugal motion in the middle temporal visual area (area MT) has long been thought to provide an efficient coding strategy for optic flow processing. However
https://doi.org/10.1523/JNEUROSCI.1997-22.2023;140;first SYNGAP1 haploinsufficiency in humans leads to severe neurodevelopmental disorders characterized by intellectual disability
https://doi.org/10.1523/JNEUROSCI.2120-21.2022;141;first Cerebral creatine deficiency syndrome (CCDS) is an inborn error of metabolism characterized by intellectual delays
https://doi.org/10.1523/JNEUROSCI.2330-22.2023;142;first Many sleep less than recommended without experiencing daytime sleepiness. According to prevailing views
https://doi.org/10.1523/JNEUROSCI.0349-23.2023;143;"first Despite a recent surge in research examining parent–child neural similarity using fMRI
https://doi.org/10.1523/JNEUROSCI.2006-22.2023;144;first Age-related impairments in value representations and updating during decision-making and reward-based learning are often related to age-related attenuation in the catecholamine system such as dopamine (DA) and norepinephrine (NE). However
https://doi.org/10.1523/JNEUROSCI.0608-22.2023;145;first Repeated exposure to a stimulus results in reduced neural response
https://doi.org/10.1523/JNEUROSCI.2200-22.2023;146;first To form a perceptual decision
https://doi.org/10.1523/JNEUROSCI.1874-22.2023;147;first A crucial ability of the human brain is to learn and exploit probabilistic associations between stimuli to facilitate perception and behavior by predicting future events. Although studies have shown how perceptual relationships are used to predict sensory inputs
https://doi.org/10.1523/JNEUROSCI.0166-23.2023;148;first Binary classification
https://doi.org/10.1523/JNEUROSCI.1163-22.2023;149;"first A sentence is more than the sum of its words: its meaning depends on how they combine with one another. The brain mechanisms underlying such semantic composition remain poorly understood. To shed light on the neural vector code underlying semantic composition
https://doi.org/10.1523/JNEUROSCI.0464-22.2022;150;first During goal-directed behavior
https://doi.org/10.1523/JNEUROSCI.1550-22.2023;151;first Fast gamma oscillations
https://doi.org/10.1523/JNEUROSCI.0884-22.2022;152;first Developing neurons must meet core molecular
https://doi.org/10.1523/JNEUROSCI.0263-23.2023;153;first Prior knowledge has a profound impact on the way we perceive the world. However
https://doi.org/10.1523/JNEUROSCI.0563-22.2022;154;first We are constantly sampling our environment by moving our eyes
https://doi.org/10.1523/JNEUROSCI.1922-22.2022;155;first α-Synuclein plays a key role in the pathogenesis of Parkinson’s disease and related disorders
https://doi.org/10.1523/JNEUROSCI.1420-22.2023;156;first Numerous studies suggest that biological neuronal networks self-organize toward a critical state with stable recruitment dynamics. Individual neurons would then statistically activate exactly one further neuron during activity cascades termed neuronal avalanches. Yet
https://doi.org/10.1523/JNEUROSCI.1305-22.2023;157;"first Dexterous object manipulation depends critically on information about forces normal and tangential to the fingerpads
https://doi.org/10.1523/JNEUROSCI.1365-22.2023;158;first The Slack channel (KCNT1
https://doi.org/10.1523/JNEUROSCI.1450-22.2022;159;first Study of the hippocampal place cell system has greatly enhanced our understanding of memory encoding for distinct places
https://doi.org/10.1523/JNEUROSCI.1317-22.2022;160;first While the physical signs of opioid withdrawal are most readily observable
